node,edge
Breast cancer,BCAR4
Breast cancer,BCYRN1
Breast cancer,CCAT2
Breast cancer,CDKN2B-AS1
Breast cancer,DSCAM-AS1
Breast cancer,GAS5
Breast cancer,H19
Breast cancer,HOTAIR
Breast cancer,LSINCT5
Breast cancer,MALAT1
Breast cancer,MEG3
Breast cancer,MIR31HG
Breast cancer,Pinc
Breast cancer,PVT1
Breast cancer,XIST
Breast cancer,ZFAS1
Breast cancer,LINC-ROR
Breast cancer,TUG1
Breast cancer,UCA1
Breast cancer,MIR2052HG
Breast cancer,DANCR
Breast cancer,LINC00520
Breast cancer,CYTOR
Breast cancer,AC145110.1
Breast cancer,NEAT1
Breast cancer,LINC01089
Breast cancer,RMST
Breast cancer,LINC01234
Breast cancer,STXBP5-AS1
Breast cancer,LINP1
Breast cancer,EPB41L4A-AS2
Breast cancer,NORAD
Breast cancer,LINC00636
Breast cancer,LINC01405
Breast cancer,ADARB2-AS1
Breast cancer,ST8SIA6-AS1
Breast cancer,LINC00511
Breast cancer,DPP10-AS1
Breast cancer,PANDAR
Breast cancer,HIF1A-AS2
Breast cancer,RP11-434D9.1
Breast cancer,LINC00052
Breast cancer,FGF14-AS2
Breast cancer,LINC00472
Breast cancer,CCAT1
Breast cancer,LINC01016
Breast cancer,LINC00160
Breast cancer,SOX2-OT
Breast cancer,PTPRG-AS1
Breast cancer,RASSF1-AS1
Breast cancer,NBAT1
Breast cancer,KCNQ1OT1
Breast cancer,TUNAR
Breast cancer,EGOT
Breast cancer,LINC00993
Breast cancer,RP11-445H22.4
Breast cancer,NKILA
Breast cancer,SPRY4-IT1
Breast cancer,RP4-583P15.10
Breast cancer,IRAIN
Breast cancer,DIRC3
Breast cancer,CCDC26
Breast cancer,CASC22
Colon cancer,H19
Colon cancer,HOTAIR
Colon cancer,MALAT1
Colon cancer,MEG3
Colon cancer,GSEC
Colon cancer,CYTOR
Colon cancer,TUG1
Colon cancer,LINC-ROR
Colon cancer,UCA1
Colon cancer,FER1L4
Colon cancer,CCAT1
Colon cancer,CCAT2
Kidney cancer,H19
Kidney cancer,HOTAIR
Kidney cancer,MALAT1
Kidney cancer,MEG3
Kidney cancer,GSEC
Kidney cancer,CYTOR
Kidney cancer,TUG1
Kidney cancer,LINC-ROR
Kidney cancer,UCA1
Endometrial cancer,CASC2
Endometrial cancer,HOTAIR
Endometrial cancer,MALAT1
Endometrial cancer,RP11-501O2
Endometrial cancer,FAM212B-AS1
Endometrial cancer,RP11-140I24
Endometrial cancer,NEAT1
Endometrial cancer,UCA1
